algorithm,rows,columns,time,target_size,final_size,accuracy,rmse,selected_features
fsdr,6933,131,76.76,2,2,0.53,0.73,39;89
mi,6933,131,2.73,2,2,0.47,0.69,82;85
lasso,6933,131,0.2,2,2,0.51,0.71,28;39
fsdr,6933,131,141.39,5,5,0.74,0.86,18;38;70;91;107
mi,6933,131,2.66,5,5,0.57,0.76,82;85;83;119;93
lasso,6933,131,0.18,5,5,0.68,0.83,28;39;58;38;11
fsdr,6933,131,294.72,10,10,0.77,0.88,18;23;35;47;61;72;81;91;106;118
mi,6933,131,2.62,10,10,0.70,0.83,82;85;83;119;93;79;84;80;18;86
lasso,6933,131,0.16,10,10,0.74,0.86,28;39;58;38;11;31;5;12;6;25
fsdr,6933,131,528.72,20,19,0.81,0.90,5;11;19;24;30;35;44;46;57;63;75;77;86;91;92;105;107;117;120
mi,6933,131,2.71,20,20,0.70,0.84,82;85;83;119;93;79;84;80;18;86;120;122;19;109;108;81;87;20;17;16
lasso,6933,131,0.22,20,20,0.80,0.89,28;39;58;38;11;31;5;12;6;25;59;0;108;101;23;113;122;76;50;49
fsdr,6933,131,760.44,30,25,0.79,0.89,12;15;19;22;27;30;36;39;44;47;61;62;64;72;75;81;89;91;93;107;112;115;117;120;126
mi,6933,131,2.64,30,30,0.75,0.87,82;85;83;119;93;79;84;80;18;86;120;122;19;109;108;81;87;20;17;16;121;88;110;106;90;22;125;78;89;26
lasso,6933,131,0.19,30,30,0.78,0.88,28;39;58;38;11;31;5;12;6;25;59;0;108;101;23;113;122;76;50;49;37;60;57;56;40;55;41;42;54;53
